"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"001","","","","C","","00:00:00:00","00:00:00:01","00:00:00:01","00:00:00:00","00:00:00:01","","","","","","","0.000","","Yellow","AB6 Single Tag1.1 (X+)","",""
"002","","","","C","","00:00:23:09","00:00:23:10","00:00:00:01","00:00:23:09","00:00:23:10","","","","","","","0.000","","Green","TagOn #1","",""
"003","","","","C","","00:00:24:05","00:00:24:06","00:00:00:01","00:00:24:05","00:00:24:06","","","","","","","0.000","","Pink","TagOn.Activation #1","",""
"004","","","","C","","00:00:26:08","00:00:26:09","00:00:00:01","00:00:26:08","00:00:26:09","","","","","","","0.000","","Green","TagOn #2","",""
"005","","","","C","","00:00:27:08","00:00:27:09","00:00:00:01","00:00:27:08","00:00:27:09","","","","","","","0.000","","Pink","TagOn.Activation #2","",""
"006","","","","C","","00:00:29:15","00:00:29:16","00:00:00:01","00:00:29:15","00:00:29:16","","","","","","","0.000","","Green","TagOn #3","",""
"007","","","","C","","00:00:30:08","00:00:30:09","00:00:00:01","00:00:30:08","00:00:30:09","","","","","","","0.000","","Pink","TagOn.Activation #3","",""
"008","","","","C","","00:00:32:18","00:00:32:19","00:00:00:01","00:00:32:18","00:00:32:19","","","","","","","0.000","","Green","TagOn #4","",""
"009","","","","C","","00:00:33:07","00:00:33:08","00:00:00:01","00:00:33:07","00:00:33:08","","","","","","","0.000","","Pink","TagOn.Activation #4","",""
"010","","","","C","","00:00:35:12","00:00:35:13","00:00:00:01","00:00:35:12","00:00:35:13","","","","","","","0.000","","Green","TagOn #5","",""
"011","","","","C","","00:00:36:07","00:00:36:08","00:00:00:01","00:00:36:07","00:00:36:08","","","","","","","0.000","","Pink","TagOn.Activation #5","",""
"012","","","","C","","00:00:38:12","00:00:38:13","00:00:00:01","00:00:38:12","00:00:38:13","","","","","","","0.000","","Green","TagOn #6","",""
"013","","","","C","","00:00:39:07","00:00:39:08","00:00:00:01","00:00:39:07","00:00:39:08","","","","","","","0.000","","Pink","TagOn.Activation #6","",""
"014","","","","C","","00:00:41:05","00:00:41:06","00:00:00:01","00:00:41:05","00:00:41:06","","","","","","","0.000","","Green","TagOn #7","",""
"015","","","","C","","00:00:42:06","00:00:42:07","00:00:00:01","00:00:42:06","00:00:42:07","","","","","","","0.000","","Pink","TagOn.Activation #7","",""
"016","","","","C","","00:00:44:00","00:00:44:01","00:00:00:01","00:00:44:00","00:00:44:01","","","","","","","0.000","","Green","TagOn #8","",""
"017","","","","C","","00:00:45:06","00:00:45:07","00:00:00:01","00:00:45:06","00:00:45:07","","","","","","","0.000","","Pink","TagOn.Activation #8","",""
"018","","","","C","","00:00:46:26","00:00:46:27","00:00:00:01","00:00:46:26","00:00:46:27","","","","","","","0.000","","Green","TagOn #9","",""
"019","","","","C","","00:00:47:11","00:00:47:12","00:00:00:01","00:00:47:11","00:00:47:12","","","","","","","0.000","","Pink","TagOn.Activation #9","",""
"020","","","","C","","00:00:49:02","00:00:49:03","00:00:00:01","00:00:49:02","00:00:49:03","","","","","","","0.000","","Green","TagOn #10","",""
"021","","","","C","","00:00:50:08","00:00:50:09","00:00:00:01","00:00:50:08","00:00:50:09","","","","","","","0.000","","Pink","TagOn.Activation #10","",""
"022","","","","C","","00:00:51:25","00:00:51:26","00:00:00:01","00:00:51:25","00:00:51:26","","","","","","","0.000","","Green","TagOn #11","",""
"023","","","","C","","00:00:52:13","00:00:52:14","00:00:00:01","00:00:52:13","00:00:52:14","","","","","","","0.000","","Pink","TagOn.Activation #11","",""
"024","","","","C","","00:00:53:25","00:00:53:26","00:00:00:01","00:00:53:25","00:00:53:26","","","","","","","0.000","","Yellow","AB6 Single Tag1.1 (X-)","",""
"025","","","","C","","00:01:27:13","00:01:27:14","00:00:00:01","00:01:27:13","00:01:27:14","","","","","","","0.000","","Green","TagOn #12","",""
"026","","","","C","","00:01:28:01","00:01:28:02","00:00:00:01","00:01:28:01","00:01:28:02","","","","","","","0.000","","Pink","TagOn.Activation #12","",""
"027","","","","C","","00:01:29:26","00:01:29:27","00:00:00:01","00:01:29:26","00:01:29:27","","","","","","","0.000","","Green","TagOn #13","",""
"028","","","","C","","00:01:31:01","00:01:31:02","00:00:00:01","00:01:31:01","00:01:31:02","","","","","","","0.000","","Pink","TagOn.Activation #13","",""
"029","","","","C","","00:01:32:26","00:01:32:27","00:00:00:01","00:01:32:26","00:01:32:27","","","","","","","0.000","","Green","TagOn #14","",""
"030","","","","C","","00:01:34:00","00:01:34:01","00:00:00:01","00:01:34:00","00:01:34:01","","","","","","","0.000","","Pink","TagOn.Activation #14","",""
"031","","","","C","","00:01:35:25","00:01:35:26","00:00:00:01","00:01:35:25","00:01:35:26","","","","","","","0.000","","Green","TagOn #15","",""
